feature,importance
5min_hour,13.245972229217342
1min_hour_rel,10.674382790794306
1min_hour,10.305951163922435
5min_hour_rel,9.58920104195088
5min_<CLOSE>_zscore_100,5.395898472074277
1min_hour_sin,3.0993831538892556
5min_hour_sin,3.028772529944446
5min_hour_cos,1.9004900260403037
1min_hour_cos,1.8103746801618212
5min_weekday_sin,1.5657479070758429
5min_dist_high_100,1.5131530150985177
1min_weekday_sin,1.3682044233079556
1min_obv,1.2291187546128404
1min_volatility_20,1.2260155061034819
5min_weekday,1.1868493636843418
1min_week,1.101986251608784
5min_obv,1.0678608859014178
1min_weekday,1.0635985399215149
5min_dist_low_100,1.0189915031477415
1min_vwap,0.9594131578013415
5min_week,0.8972740892584657
5min_adx,0.893057217354625
5min_macd_signal,0.8016599701007818
5min_day,0.7431202976061332
1min_adi,0.7334152183300977
1min_weekday_rel,0.7242899538856543
5min_vwap,0.6645635068483926
5min_tsi,0.6501457985159198
5min_ema_50,0.5720499671842424
1min_dist_bb_width,0.5591172472959928
1min_day,0.5507492575078992
1min_month_sin,0.547638425819543
5min_weekday_rel,0.5312671370998193
5min_adi,0.5017512009068891
5min_atr_sma_20,0.5016988886901552
5min_month_sin,0.4759447503645693
5min_supertrend_direction,0.47041147393398464
1min_bb_width,0.4138307928346813
1min_psar,0.3904164858068437
5min_volatility_20,0.3893450492675744
5min_donchian_hband,0.38870515805673056
1min_dist_bb_low,0.34734244544397846
5min_donchian_width,0.33725431984567517
1min_minute,0.33342773696800354
5min_macd_diff,0.3211857874234152
1min_donchian_lband,0.31837982788155644
5min_ulcer_index,0.31655746856957045
5min_ichimoku_b,0.30592312055722415
5min_rsi,0.29996992058627586
5min_macd,0.2863859958556842
1min_<CLOSE>_zscore_20,0.28156316311925966
1min_minute_sin,0.2776082787954019
1min_ema_50,0.26553683260285066
1min_kc_width,0.26182937180764465
5min_close_sma_3,0.2591324499908224
5min_cmf,0.2572156384356501
1min_dist_low_50,0.2483483710322317
5min_bb_width,0.24366111426199066
1min_month_rel,0.24147796634558444
5min_adx_pos,0.24114465203440982
1min_<CLOSE>,0.23993190137128917
5min_adx_neg,0.23752530060396548
5min_kc_width,0.23025894181969261
5min_<TICKVOL>,0.22644112286567272
5min_minute,0.22601536899993926
1min_<HIGH>,0.2166332814894137
1min_ulcer_index,0.20432068900148773
5min_<LOW>,0.20078598146374735
1min_ichimoku_a,0.1988873136883086
5min_psar,0.19147641101120735
1min_kc_lband,0.1891661856715244
5min_mfi,0.18512692555067523
5min_month,0.18354580345032842
1min_supertrend,0.17757588195692425
5min_ichimoku_conversion_line,0.17506891084966344
5min_donchian_lband,0.1742225447689123
1min_adx,0.16645307698355083
1min_donchian_width,0.16567676200937487
5min_dist_low_50,0.1645575306942058
1min_<CLOSE>_zscore_50,0.16334795469173452
1min_close_sma_3,0.16075868081776215
1min_dist_bb_high,0.15549230424332627
1min_donchian_hband,0.15022079269494204
1min_ema_21,0.14715634963146212
5min_minute_sin,0.14562519140108296
5min_<CLOSE>_zscore_50,0.14554453043911109
1min_bb_low,0.14460304167648405
5min_vol_price_ratio,0.1442446392311119
5min_month_cos,0.1432850613433111
5min_cci,0.13671645161333024
1min_sma_20,0.13367222312519814
1min_month,0.12875604287597878
1min_weekday_cos,0.12593210159090285
1min_dist_high_50,0.1250404365201429
1min_<LOW>,0.12477972298643752
5min_bb_low,0.1220452649011479
5min_ultimate_osc,0.11876466335483221
1min_dist_high_100,0.11387942527713996
5min_sma_20,0.11237993387383227
5min_weekday_cos,0.10255921836384164
5min_ichimoku_a,0.10187104095703335
1min_ichimoku_base_line,0.10053581933431024
5min_dist_bb_low,0.09832748616763817
1min_dist_low_20,0.0958071262198447
5min_dist_low_20,0.09085395929237511
5min_atr,0.08983818559160119
1min_tsi,0.08974642440416734
1min_log_return,0.08974011737043297
1min_roc,0.08929485771905875
1min_kc_hband,0.08475649550497726
5min_<HIGH>,0.08434765521904472
5min_dist_high_50,0.08363134880915929
log_return_1m,0.08313660845299319
5min_roc,0.0817013580095795
1min_atr_sma_20,0.08103236731705357
5min_ema_21,0.07703613787138651
5min_quarter,0.07642293647518328
5min_<CLOSE>_zscore_20,0.0743248645590808
1min_adx_neg,0.0724766943033687
1min_ichimoku_b,0.0683362169530209
5min_bb_high,0.0679498013390566
5min_<TICKVOL>_zscore_50,0.06491469778477722
5min_minute_cos,0.06408928760738629
1min_ultimate_osc,0.06366949982485345
5min_kc_lband,0.061512183922896424
1min_quarter,0.058977419436416455
5min_supertrend,0.05725196782131945
5min_dist_bb_width,0.05591233346435807
1min_<CLOSE>_zscore_100,0.055329356898305135
<OPEN>,0.05280167496710485
1min_month_cos,0.05227203389241064
1min_mfi,0.0500249262189849
1min_bb_high,0.04985847560815996
1min_rsi,0.049307716281212534
1min_cci,0.047571374538399706
5min_willr,0.04672176342521866
1min_dist_low_5,0.04360335035269218
1min_dist_high_5,0.04269126629608447
5min_dist_bb_high,0.03740395704934905
5min_<CLOSE>,0.0341783485237906
1min_dist_high_20,0.0326542957285381
1min_atr,0.03166552829125913
5min_month_rel,0.031575616270005366
1min_cmf,0.02835180730926426
1min_willr,0.028298218384158354
1min_minute_cos,0.02801622071746731
5min_dist_high_20,0.027556649984299346
tickvol,0.02667764689052714
5min_<TICKVOL>_zscore_100,0.02646204186583433
1min_supertrend_direction,0.02638101345500373
1min_ichimoku_conversion_line,0.023627233177633114
1min_year,0.02216868895930618
5min_ichimoku_base_line,0.021353037988198247
1min_dist_low_100,0.015883979338796192
5min_stochrsi,0.012169781902206186
5min_<CLOSE>_zscore_5,0.011997646130686221
5min_<TICKVOL>_zscore_5,0.011951474175844256
1min_macd_signal,0.011378731656357588
5min_dist_low_5,0.007427848819534037
5min_log_return,0.0037682376938824795
1min_stochrsi,0.003719729258863983
5min_return,0.003419726830169826
1min_return,0.0
1min_<TICKVOL>,0.0
1min_macd,0.0
1min_macd_diff,0.0
1min_adx_pos,0.0
1min_<TICKVOL>_zscore_100,0.0
1min_<TICKVOL>_zscore_5,0.0
5min_kc_hband,0.0
1min_vol_price_ratio,0.0
1min_<TICKVOL>_zscore_50,0.0
1min_<TICKVOL>_zscore_20,0.0
1min_<CLOSE>_zscore_5,0.0
5min_<TICKVOL>_zscore_20,0.0
5min_dist_high_5,0.0
5min_year,0.0
