https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDC,tradecount
1664409600000,2022-09-29,BTCUSDC,19418.54,19600.0,19288.0,19440.48,235.03475,4575384.5724743,4046
1664323200000,2022-09-28,BTCUSDC,19081.07,19769.12,18463.86,19415.11,9077.14841,172659755.3424573,91848
1664236800000,2022-09-27,BTCUSDC,19226.94,20407.18,18817.79,19076.71,8106.40908,160034071.1535992,96531
1664150400000,2022-09-26,BTCUSDC,18807.93,19323.14,18681.05,19228.3,7668.27137,145801664.0564202,98345
1664064000000,2022-09-25,BTCUSDC,18922.45,19271.53,18630.22,18809.1,8297.0142,157467459.3859278,119047
1663977600000,2022-09-24,BTCUSDC,19290.04,19311.79,18800.0,18923.19,9583.26868,182779416.0880634,127190
1663891200000,2022-09-23,BTCUSDC,19400.51,19500.0,18532.79,19284.55,9735.08031,185524388.159432,144617
1663804800000,2022-09-22,BTCUSDC,18460.01,19539.66,18359.22,19401.41,13048.95997,246875531.9195319,199606
1663718400000,2022-09-21,BTCUSDC,18875.73,19957.7,18130.0,18462.23,14346.36336,273243155.8796254,246120
1663632000000,2022-09-20,BTCUSDC,19535.37,19637.85,18715.02,18875.41,15165.76669,290216741.5201672,218045
1663545600000,2022-09-19,BTCUSDC,19419.35,19686.74,18247.7,19539.78,13427.32468,253868712.19414288,201491
1663459200000,2022-09-18,BTCUSDC,20114.54,20117.57,19333.47,19418.47,7311.51165,144693639.2688586,129180
1663372800000,2022-09-17,BTCUSDC,19801.32,20187.68,19748.75,20113.49,7962.52095,158807283.0183134,119761
1663286400000,2022-09-16,BTCUSDC,19702.93,19888.02,19330.23,19802.68,8638.61702,170162494.7839668,146804
1663200000000,2022-09-15,BTCUSDC,20232.64,20332.2,19493.61,19701.15,10989.61973,219760497.55131727,214327
1663113600000,2022-09-14,BTCUSDC,20171.02,20535.66,19621.99,20228.67,9930.75264,200798938.42963952,165318
1663027200000,2022-09-13,BTCUSDC,22397.03,22804.78,19851.0,20172.2,15957.40506,346871175.024802,242917
1662940800000,2022-09-12,BTCUSDC,21832.88,22499.99,21558.0,22397.88,19842.43423,437529413.16570175,248751
1662854400000,2022-09-11,BTCUSDC,21654.11,21880.0,21354.54,21832.88,17279.01418,373370939.82870704,198567
1662768000000,2022-09-10,BTCUSDC,21369.91,21816.96,21000.4,21653.78,14199.98278,303972439.7886164,196387
1662681600000,2022-09-09,BTCUSDC,19322.7,21619.99,19294.38,21368.86,18794.53783,391816496.74945474,240019
1662595200000,2022-09-08,BTCUSDC,19295.68,19454.41,19014.18,19322.34,9916.09489,190759145.17849472,150866
1662508800000,2022-09-07,BTCUSDC,18788.87,19466.03,18530.0,19293.97,10467.51608,197819048.976014,146062
1662422400000,2022-09-06,BTCUSDC,19795.52,20180.59,18652.66,18788.6,14475.37354,282612202.7878382,194265
1662336000000,2022-09-05,BTCUSDC,20003.63,20062.79,19636.0,19793.67,9142.52856,180943171.326807,128834
1662249600000,2022-09-04,BTCUSDC,19833.2,20030.39,19582.66,20004.67,6708.26772,132878030.2520461,89182
1662163200000,2022-09-03,BTCUSDC,19953.92,20056.1,19653.06,19832.8,7635.69454,151467373.8570188,101158
1662076800000,2022-09-02,BTCUSDC,20131.35,20444.42,19756.36,19954.71,10027.61271,201514655.7928974,139958
1661990400000,2022-09-01,BTCUSDC,20048.66,20204.95,19564.95,20130.27,13355.50496,266584368.85061592,165830
1661904000000,2022-08-31,BTCUSDC,19815.75,20498.24,19800.0,20048.11,17748.50891,358480861.91473967,230429
1661817600000,2022-08-30,BTCUSDC,20285.75,20578.88,19542.0,19810.83,15787.21221,317136392.2469599,226058
1661731200000,2022-08-29,BTCUSDC,19555.78,20440.13,19551.69,20286.58,14713.84298,294159536.8968949,198915
1661644800000,2022-08-28,BTCUSDC,20036.26,20164.12,19521.59,19557.34,6439.1338,128382057.0722768,107258
1661558400000,2022-08-27,BTCUSDC,20237.96,20402.13,19800.0,20034.31,8181.33593,164572009.269383,136232
1661472000000,2022-08-26,BTCUSDC,21557.61,21877.04,20074.0,20238.97,11301.56022,238442531.0152544,197758
1661385600000,2022-08-25,BTCUSDC,21370.8,21819.08,21312.0,21561.75,5933.9654,128154492.3021948,128531
1661299200000,2022-08-24,BTCUSDC,21526.08,21900.0,21149.18,21369.1,6117.06114,131106875.3118774,122553
1661212800000,2022-08-23,BTCUSDC,21398.93,21681.34,20887.76,21525.71,8013.42093,171317455.3023929,152090
1661126400000,2022-08-22,BTCUSDC,21518.06,21547.85,20881.81,21396.05,8730.82042,185483222.80156288,166845
1661040000000,2022-08-21,BTCUSDC,21137.92,21796.7,21067.87,21514.97,6849.79124,146606183.9865492,143382
1660953600000,2022-08-20,BTCUSDC,20837.1,21373.73,20761.12,21135.02,8070.30504,170637335.7124419,169864
1660867200000,2022-08-19,BTCUSDC,23191.02,23207.81,20777.25,20833.33,12276.94416,266736600.5672498,259080
1660780800000,2022-08-18,BTCUSDC,23341.75,23600.0,23109.51,23191.31,4896.71324,114654009.8361787,145344
1660694400000,2022-08-17,BTCUSDC,23856.51,24449.21,23179.1,23342.67,8767.61798,207797419.3421656,220343
1660608000000,2022-08-16,BTCUSDC,24098.03,24255.35,23674.0,23858.07,7791.47888,186732030.6930063,211023
1660521600000,2022-08-15,BTCUSDC,24316.89,25220.0,23780.95,24097.01,12454.99426,302505884.8240755,268652
1660435200000,2022-08-14,BTCUSDC,24451.65,25061.63,24153.98,24312.88,5409.23745,132731266.3780544,136224
1660348800000,2022-08-13,BTCUSDC,24415.09,24900.0,24295.06,24452.92,6358.27386,156157943.4804028,180512
1660262400000,2022-08-12,BTCUSDC,23945.54,24470.83,23588.13,24411.19,7013.58335,168191975.4050423,196283
1660176000000,2022-08-11,BTCUSDC,23959.41,24928.38,23865.43,23942.46,9874.71354,241194093.1794832,258314
1660089600000,2022-08-10,BTCUSDC,23151.59,24235.88,22664.29,23959.95,9888.31502,233011658.85395232,199766
1660003200000,2022-08-09,BTCUSDC,23811.82,23933.73,22870.0,23156.08,5384.12572,125952489.3685233,115291
1659916800000,2022-08-08,BTCUSDC,23178.7,24299.0,23157.67,23812.3,6405.6367,152926759.0471434,115858
1659830400000,2022-08-07,BTCUSDC,22960.86,23403.15,22850.35,23178.29,2795.72729,64548726.748652,74056
1659744000000,2022-08-06,BTCUSDC,23316.21,23355.0,22916.42,22954.82,2611.52039,60539644.1592251,75105
1659657600000,2022-08-05,BTCUSDC,22620.23,23478.31,22586.04,23310.94,7020.62398,162227809.553502,147589
1659571200000,2022-08-04,BTCUSDC,22823.17,23277.99,22390.0,22623.46,6275.44271,143324539.3817214,141649
1659484800000,2022-08-03,BTCUSDC,22991.78,23644.21,22692.27,22822.24,5750.83521,133441773.6607412,134583
1659398400000,2022-08-02,BTCUSDC,23275.98,23467.56,22658.97,22990.83,6426.19204,147790626.420525,132910
1659312000000,2022-08-01,BTCUSDC,23306.59,23517.51,22851.25,23274.01,4995.81538,115941670.7897028,110141
1659225600000,2022-07-31,BTCUSDC,23647.81,24199.99,23236.68,23304.38,4792.22395,113591184.5080553,105128
1659139200000,2022-07-30,BTCUSDC,23787.41,24679.0,23513.89,23643.83,5589.03947,134677190.738995,119504
1659052800000,2022-07-29,BTCUSDC,23851.32,24450.0,23431.47,23781.62,11899.2563,284096841.0335994,185748
1658966400000,2022-07-28,BTCUSDC,22965.19,24206.81,22587.81,23849.55,10065.14479,234771459.5399256,190607
1658880000000,2022-07-27,BTCUSDC,21260.0,23111.49,21045.5,22959.81,10384.43756,226944705.59280887,174565
1658793600000,2022-07-26,BTCUSDC,21310.37,21346.92,20710.25,21256.87,8949.98305,188195545.38151887,158330
1658707200000,2022-07-25,BTCUSDC,22583.42,22667.7,21242.03,21310.36,9609.33561,210552352.8775199,173252
1658620800000,2022-07-24,BTCUSDC,22453.09,23014.62,22264.87,22581.29,4206.76302,95408347.1800627,95756
1658534400000,2022-07-23,BTCUSDC,22687.31,23002.3,21943.34,22451.33,5836.82612,131015826.595156,116103
1658448000000,2022-07-22,BTCUSDC,23153.15,23769.83,22502.67,22685.98,9397.02171,218111346.5506015,168689
1658361600000,2022-07-21,BTCUSDC,23228.1,23452.3,22345.04,23153.61,11954.73762,274000306.8611471,193634
1658275200000,2022-07-20,BTCUSDC,23400.0,24283.76,22600.0,23225.55,13019.69126,306883194.7094285,217357
1658188800000,2022-07-19,BTCUSDC,22438.0,23810.89,21580.11,23400.0,11870.50042,268817085.842261,208775
1658102400000,2022-07-18,BTCUSDC,20796.12,22777.0,20759.57,22430.0,8808.99503,193242410.428647,190147
1658016000000,2022-07-17,BTCUSDC,21191.49,21672.23,20717.94,20789.77,6504.24442,138111585.7110949,142777
1657929600000,2022-07-16,BTCUSDC,20828.95,21582.85,20469.66,21190.0,6809.87502,143002912.9252377,138965
1657843200000,2022-07-15,BTCUSDC,20574.27,21195.97,20368.26,20824.97,7761.08003,161506279.6181687,171944
1657756800000,2022-07-14,BTCUSDC,20220.0,20885.4,19600.0,20577.85,8375.09466,168765523.4918709,171896
