[2025-12-14 13:46:55,069][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:47:07,417][INFO] [UI] Features calculées.
[2025-12-14 13:47:07,417][INFO] [UI] Signal de trading : hold
[2025-12-14 13:47:07,417][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:47:19,826][INFO] [UI] Features calculées.
[2025-12-14 13:47:19,826][INFO] [UI] Signal de trading : hold
[2025-12-14 13:47:19,826][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:47:32,109][INFO] [UI] Features calculées.
[2025-12-14 13:47:32,109][INFO] [UI] Signal de trading : hold
[2025-12-14 13:47:32,109][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:47:44,464][INFO] [UI] Features calculées.
[2025-12-14 13:47:44,464][INFO] [UI] Signal de trading : hold
[2025-12-14 13:47:44,464][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:47:56,829][INFO] [UI] Features calculées.
[2025-12-14 13:47:56,844][INFO] [UI] Signal de trading : hold
[2025-12-14 13:47:56,844][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:48:09,185][INFO] [UI] Features calculées.
[2025-12-14 13:48:09,185][INFO] [UI] Signal de trading : hold
[2025-12-14 13:48:09,185][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:48:21,482][INFO] [UI] Features calculées.
[2025-12-14 13:48:21,482][INFO] [UI] Signal de trading : hold
[2025-12-14 13:48:21,482][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:48:33,845][INFO] [UI] Features calculées.
[2025-12-14 13:48:33,845][INFO] [UI] Signal de trading : hold
[2025-12-14 13:48:33,845][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:48:46,230][INFO] [UI] Features calculées.
[2025-12-14 13:48:46,230][INFO] [UI] Signal de trading : hold
[2025-12-14 13:48:46,230][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:48:58,514][INFO] [UI] Features calculées.
[2025-12-14 13:48:58,530][INFO] [UI] Signal de trading : hold
[2025-12-14 13:48:58,530][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:49:10,845][INFO] [UI] Features calculées.
[2025-12-14 13:49:10,845][INFO] [UI] Signal de trading : hold
[2025-12-14 13:49:10,845][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:49:23,196][INFO] [UI] Features calculées.
[2025-12-14 13:49:23,196][INFO] [UI] Signal de trading : hold
[2025-12-14 13:49:23,212][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:49:35,519][INFO] [UI] Features calculées.
[2025-12-14 13:49:35,519][INFO] [UI] Signal de trading : hold
[2025-12-14 13:49:35,519][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:49:47,851][INFO] [UI] Features calculées.
[2025-12-14 13:49:47,851][INFO] [UI] Signal de trading : hold
[2025-12-14 13:49:47,851][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:50:00,209][INFO] [UI] Features calculées.
[2025-12-14 13:50:00,209][INFO] [UI] Signal de trading : hold
[2025-12-14 13:50:00,209][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:50:12,545][INFO] [UI] Features calculées.
[2025-12-14 13:50:12,561][INFO] [UI] Signal de trading : hold
[2025-12-14 13:50:12,561][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:50:24,913][INFO] [UI] Features calculées.
[2025-12-14 13:50:24,913][INFO] [UI] Signal de trading : hold
[2025-12-14 13:50:24,913][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:50:37,232][INFO] [UI] Features calculées.
[2025-12-14 13:50:37,232][INFO] [UI] Signal de trading : hold
[2025-12-14 13:50:37,248][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:50:49,541][INFO] [UI] Features calculées.
[2025-12-14 13:50:49,556][INFO] [UI] Signal de trading : hold
[2025-12-14 13:50:49,556][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:51:01,822][INFO] [UI] Features calculées.
[2025-12-14 13:51:01,822][INFO] [UI] Signal de trading : hold
[2025-12-14 13:51:01,822][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:51:14,094][INFO] [UI] Features calculées.
[2025-12-14 13:51:14,094][INFO] [UI] Signal de trading : hold
[2025-12-14 13:51:14,094][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:51:26,382][INFO] [UI] Features calculées.
[2025-12-14 13:51:26,382][INFO] [UI] Signal de trading : hold
[2025-12-14 13:51:26,382][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:51:38,700][INFO] [UI] Features calculées.
[2025-12-14 13:51:38,716][INFO] [UI] Signal de trading : hold
[2025-12-14 13:51:38,716][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:51:50,993][INFO] [UI] Features calculées.
[2025-12-14 13:51:50,993][INFO] [UI] Signal de trading : hold
[2025-12-14 13:51:50,993][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:52:03,248][INFO] [UI] Features calculées.
[2025-12-14 13:52:03,263][INFO] [UI] Signal de trading : hold
[2025-12-14 13:52:03,263][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:52:15,541][INFO] [UI] Features calculées.
[2025-12-14 13:52:15,541][INFO] [UI] Signal de trading : hold
[2025-12-14 13:52:15,541][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:52:27,885][INFO] [UI] Features calculées.
[2025-12-14 13:52:27,885][INFO] [UI] Signal de trading : hold
[2025-12-14 13:52:27,885][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:52:40,231][INFO] [UI] Features calculées.
[2025-12-14 13:52:40,246][INFO] [UI] Signal de trading : hold
[2025-12-14 13:52:40,246][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:52:52,572][INFO] [UI] Features calculées.
[2025-12-14 13:52:52,588][INFO] [UI] Signal de trading : hold
[2025-12-14 13:52:52,588][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:53:04,889][INFO] [UI] Features calculées.
[2025-12-14 13:53:04,889][INFO] [UI] Signal de trading : hold
[2025-12-14 13:53:04,889][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:53:17,266][INFO] [UI] Features calculées.
[2025-12-14 13:53:17,266][INFO] [UI] Signal de trading : hold
[2025-12-14 13:53:17,266][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:53:29,594][INFO] [UI] Features calculées.
[2025-12-14 13:53:29,594][INFO] [UI] Signal de trading : hold
[2025-12-14 13:53:29,594][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:53:41,931][INFO] [UI] Features calculées.
[2025-12-14 13:53:41,931][INFO] [UI] Signal de trading : hold
