Nombre de trous : 11206
Timestamps des débuts de trous :
2019-01-03 13:51:00+00:00 (écart : 0 days 00:02:00)
2019-01-03 14:34:00+00:00 (écart : 0 days 00:02:00)
2019-01-03 16:01:00+00:00 (écart : 0 days 00:03:00)
2019-01-04 04:00:00+00:00 (écart : 0 days 11:38:00)
2019-01-04 06:17:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 06:19:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 07:34:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 07:52:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 08:15:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 08:46:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 09:20:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 10:40:00+00:00 (écart : 0 days 00:04:00)
2019-01-04 11:38:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 14:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 15:17:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 15:20:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 17:03:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 17:09:00+00:00 (écart : 0 days 00:03:00)
2019-01-04 17:27:00+00:00 (écart : 0 days 00:03:00)
2019-01-04 18:24:00+00:00 (écart : 0 days 00:03:00)
2019-01-04 18:30:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 19:33:00+00:00 (écart : 0 days 00:02:00)
2019-01-04 20:52:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 00:08:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 02:33:00+00:00 (écart : 0 days 00:04:00)
2019-01-05 02:52:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 06:23:00+00:00 (écart : 0 days 03:08:00)
2019-01-05 07:26:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 08:06:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 08:49:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 08:58:00+00:00 (écart : 0 days 00:06:00)
2019-01-05 09:37:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 09:41:00+00:00 (écart : 0 days 00:03:00)
2019-01-05 09:54:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 10:24:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 10:28:00+00:00 (écart : 0 days 00:03:00)
2019-01-05 10:53:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 10:58:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 11:11:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 13:26:00+00:00 (écart : 0 days 00:03:00)
2019-01-05 14:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 19:57:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 21:35:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 21:59:00+00:00 (écart : 0 days 00:02:00)
2019-01-05 23:06:00+00:00 (écart : 0 days 00:02:00)
2019-01-08 12:09:00+00:00 (écart : 2 days 10:07:00)
2019-01-08 12:26:00+00:00 (écart : 0 days 00:02:00)
2019-01-08 12:31:00+00:00 (écart : 0 days 00:02:00)
2019-01-08 12:41:00+00:00 (écart : 0 days 00:02:00)
2019-01-08 12:59:00+00:00 (écart : 0 days 00:02:00)
2019-01-08 13:28:00+00:00 (écart : 0 days 00:02:00)
2019-01-08 14:51:00+00:00 (écart : 0 days 00:04:00)
2019-01-10 13:29:00+00:00 (écart : 1 days 21:34:00)
2019-01-10 16:48:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 20:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 20:39:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 20:50:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 21:17:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 21:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 22:04:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 22:17:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 22:20:00+00:00 (écart : 0 days 00:03:00)
2019-01-10 22:22:00+00:00 (écart : 0 days 00:02:00)
2019-01-10 23:19:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 02:31:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 02:58:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 03:03:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 05:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 08:19:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 09:49:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 10:03:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 10:08:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 10:10:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 10:21:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 10:26:00+00:00 (écart : 0 days 00:05:00)
2019-01-11 10:39:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 10:47:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 11:01:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 11:12:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 11:32:00+00:00 (écart : 0 days 00:06:00)
2019-01-11 12:13:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 12:47:00+00:00 (écart : 0 days 00:03:00)
2019-01-11 12:55:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 13:07:00+00:00 (écart : 0 days 00:04:00)
2019-01-11 13:20:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 13:22:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 13:28:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 15:24:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 15:26:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 15:38:00+00:00 (écart : 0 days 00:03:00)
2019-01-11 17:00:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 17:15:00+00:00 (écart : 0 days 00:03:00)
2019-01-11 17:20:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 17:46:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 19:56:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 20:49:00+00:00 (écart : 0 days 00:02:00)
2019-01-11 21:54:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 03:23:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 04:00:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 04:03:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 04:15:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 04:31:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 04:36:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 04:39:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 05:14:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 05:28:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 05:30:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 05:36:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 05:59:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 06:15:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 06:23:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 06:25:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 07:09:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 07:28:00+00:00 (écart : 0 days 00:04:00)
